alpha_Phase_1,0.7,factor of w_1 for the biffurcation
alpha_Phase_2,0.7,factor of w_1 for the biffurcation
angle_Biff,pi/4,angle of the biffurcation
c_CH3COOH,1[mol/m^3],Initial concentration of the reaction product.
c_H2O_ini,0,Initial concentration of water. It is zero as it is a produce of the reaction.
c_Na,10[mol/m^3],concentration of species.
c_NaOH_ini,1000[mol/m^3],Initial concentration at the inlet of the chemical chamber in the units of mol/m^3.
c_Tartrazine,0.001[mol/L],Initial concentration at the inlet of the chemical chamber in the units of mol/m^3.
D_CH3COOH,1.22*10^(-5)[cm^2/s],Diffusion coeff of Acetic Acid in water.
D_CH3COONa,1.09*10^(-5)[cm^2/s],Diffusion coeff of Sodium Acid in water.
D_H2O,2.29*10^(-9)[cm^2/s],Diffusion coeff of water in water.
d_Na,358[pm],Diameter of Sodium
D_Na,1.33e-9[m^2/s],Diffusion coeff of Na in H2O.
D_NaOH,5.3*10^(-9)[m^2/s],Diffusion coeff of Sodium Hydroxide in water
D_Tartrazine,4.9e-10[mol/m^3],Updated inlet concentration.
delta_Y,9.25187e-07[m],resolution in the Y-axis
f_molecules,0.5,Factor of reduced number of molecules
f_molecules_Phase_1,0.5,Factor of reduced number of molecules
f_molecules_Phase_2,0.375,Factor of reduced number of molecules
height_pipe,36[um],height of pipes
K_CH3COOH,1.8E-5*1E3[mol/m^3],equilibrium constant of Acetic Acid in Water
K_water,1E-14*1E6[mol/m^3],equilibrium constant of H2O=H++OH-
L_1,0.016[m],Length of Pipe_1
L_1_biff,L_1/2,length of the biffurcation
L_1_upper,0.000430531481674846[m],Lenght of upper biffurcation
L_1_upper_Phase_1,0.000430531481674846[m],Lenght of upper biffurcation
L_1_upper_Phase_2,0.000258318889004907[m],Lenght of upper biffurcation
L_2,0.0288364[m],Length of Pipe 2
L_3,0.035078[m],Length of Pipe 3
L_factor,0.1,Factor of Length L_1 to determine the lenght of the lower biffurcation pipe
L_sensor,L_1/10,side of the sensor (square)
M_Na,22.99[g/mol],Molar mass of Sodium
N_Na,100,Number of released Sodium ions
n_Pipe_3_inlet_x,-0.598666,x-Coordinates for n_Pipe_3_inlet
n_Pipe_3_inlet_y,0.800999,y-Coordinates for n_Pipe_3_inlet
n_Pipe_3_inlet_z,0,y-Coordinates for n_Pipe_3_inlet
P_b21_x,0.000553209[m],x-Coordinates for P_b21
P_b21_y,0.000204985[m],y-Coordinates for P_b21
P_b23_x,0.0208668[m],x-Coordinates for P_b23
P_b23_y,0.000204985[m],y-Coordinates for P_b23
P_b31_x,0.000538243[m],x-Coordinates for P_b31
P_b31_y,-0.00010599[m],y-Coordinates for P_b31
P_b33_x,0.0208818[m],x-Coordinates for P_b33
P_b33_y,-0.00010599[m],y-Coordinates for P_b33
P_u21_x,0.00021[m],x-Coordinates for P_b21
P_u21_y,0.000155358[m],y-Coordinates for P_b23
P_u210_x,0.000444916[m],x-Coordinates for P_u210
P_u210_y,0.000320062[m],y-Coordinates for P_u210
P_u222_x,0.0209751[m],x-Coordinates for P_u222
P_u222_y,0.000320062[m],y-Coordinates for P_u222
P_u31_x,0.01071[m],x-Coordinates for P_u31
P_u31_y,-0.0140487[m],y-Coordinates for P_u31
P_u310_x,0.000378468[m],x-Coordinates for P_u310
P_u310_y,-0.000225406[m],y-Coordinates for P_u310
P_u322_x,0.0210415[m],x-Coordinates for P_u322
P_u322_y,-0.000225406[m],y-Coordinates for P_u322
p0,4.4146[mbar],Pressure level at the inlet
pulse_duration,100[ms],Pulse duration of the concentration at the Inlet 1.
pulse_transition,50[ms],Pulse transition of the concentration at the Inlet 1.
Q_inlet_CNN,5.0[ul/min],
r_in_1,6[um],Radius of the circle that defines the turning geometry. See a representation in Fig 3 in ref bicen2013system
r_out_1,2*radius_cylinder_1+r_in_1,See Eq. (41) in ref bicen2013system
radius_cylinder_1,20[um],Radius of the cilinder 1
rho_Na,M_Na*c_Na,Density of Sodium
time_delta,0.01[s],Simulation time step
time_simul,10[s],Simulation duration
varphi_2,1.51007[rad],Angle of Pipe 2
varphi_3,1.85792[rad],Angle of Pipe 3
w_1,0.000148484848484848[m],Width of Pipe 1
w_1_biff,w_1,width of the biffurcation
w_2,0.00015802[m],width of Pipe 2
w_3,0.00019947[m],width of Pipe 3
